Sample,CO2raw,CO2_ADCv,CO2_AOUTv,ALCraw,ALC_ADCv,ALC_AOUTv,Type,ratio co2/ethanol
1123,1354,1.091,1.587,2257,1.818,2.645,regular,0.6
1124,1359,1.095,1.593,2261,1.822,2.65,regular,0.601132075
1125,1352,1.089,1.584,2261,1.822,2.65,regular,0.597735849
1126,1355,1.092,1.588,2261,1.822,2.65,regular,0.599245283
1127,1358,1.094,1.591,2267,1.826,2.657,regular,0.598795634
1128,1360,1.096,1.594,2263,1.823,2.652,regular,0.601055807
1129,1357,1.093,1.59,2271,1.83,2.661,regular,0.597519729
1130,1359,1.095,1.593,2267,1.826,2.657,regular,0.599548363
1131,1355,1.092,1.588,2259,1.82,2.647,regular,0.599924443
1132,1356,1.092,1.589,2263,1.823,2.652,regular,0.599170437
1133,1362,1.097,1.596,2265,1.825,2.654,regular,0.601356443
1134,1364,1.099,1.598,2267,1.826,2.657,regular,0.601430184
1135,1361,1.097,1.595,2275,1.833,2.666,regular,0.598274569
1136,1357,1.093,1.59,2275,1.833,2.666,regular,0.5963991
1137,1359,1.095,1.593,2274,1.832,2.665,regular,0.597748593
1138,1361,1.097,1.595,2265,1.825,2.654,regular,0.600979653
1139,1361,1.097,1.595,2265,1.825,2.654,regular,0.600979653
1140,1359,1.095,1.593,2267,1.826,2.657,regular,0.599548363
1141,1368,1.102,1.603,2271,1.83,2.661,regular,0.602405111
1142,1367,1.101,1.602,2275,1.833,2.666,regular,0.600900225
1143,1363,1.098,1.597,2269,1.828,2.659,regular,0.60060173
1144,1359,1.095,1.593,2279,1.836,2.671,regular,0.596405841
1145,1363,1.098,1.597,2271,1.83,2.661,regular,0.600150319
1146,1363,1.098,1.597,2271,1.83,2.661,regular,0.600150319
1147,1367,1.101,1.602,2271,1.83,2.661,regular,0.602029312
1148,1365,1.1,1.6,2275,1.833,2.666,regular,0.600150038
1149,1365,1.1,1.6,2269,1.828,2.659,regular,0.601729974
